coord,type,strand,ID,Alias,Name,Derives_from,sRNA_115,sRNA_266_4,sRNA_793,sRNA_LU
chr17:48632490-48632559,miRNA_primary_transcript,-,MI0000238,MI0000238,hsa-mir-196a-1,,5,1,0,7
chr1:109598893-109598967,miRNA_primary_transcript,+,MI0000239,MI0000239,hsa-mir-197,,492,200,51,28
chr3:120395668-120395729,miRNA_primary_transcript,-,MI0000240,MI0000240,hsa-mir-198,,0,0,0,0
chr19:10817426-10817496,miRNA_primary_transcript,-,MI0000242,MI0000242,hsa-mir-199a-1,,0,0,1,0
chr14:23388596-23388666,miRNA_primary_transcript,-,MI0000251,MI0000251,hsa-mir-208a,,0,0,0,0
chr7:128207872-128207943,miRNA_primary_transcript,+,MI0000252,MI0000252,hsa-mir-129-1,,3,5,3,3
chr7:25949919-25949986,miRNA_primary_transcript,-,MI0000253,MI0000253,hsa-mir-148a,,47831,4008,51791,13267
chr6:71376960-71377031,miRNA_primary_transcript,-,MI0000254,MI0000254,hsa-mir-30c-2,,478,91,68,67
chr8:134804876-134804945,miRNA_primary_transcript,-,MI0000255,MI0000255,hsa-mir-30d,,268708,245422,48469,32719
chr11:72615063-72615130,miRNA_primary_transcript,-,MI0000261,MI0000261,hsa-mir-139,,92,49,21,86
chr9:120244979-120245050,miRNA_primary_transcript,-,MI0000262,MI0000262,hsa-mir-147a,,0,0,0,0
chr9:83969748-83969857,miRNA_primary_transcript,-,MI0000263,MI0000263,hsa-mir-7-1,,39,5,14,10
chr15:88611825-88611934,miRNA_primary_transcript,+,MI0000264,MI0000264,hsa-mir-7-2,,9,2,7,8
chr19:4770670-4770779,miRNA_primary_transcript,+,MI0000265,MI0000265,hsa-mir-7-3,,1,0,0,0
chr17:48579838-48579947,miRNA_primary_transcript,-,MI0000266,MI0000266,hsa-mir-10a,,39986,18795,13665,27663
chr2:176150303-176150412,miRNA_primary_transcript,+,MI0000267,MI0000267,hsa-mir-10b,,17314,11821,133,61
chr1:9151668-9151777,miRNA_primary_transcript,-,MI0000268,MI0000268,hsa-mir-34a,,495,91,174,369
chr9:124692442-124692551,miRNA_primary_transcript,+,MI0000269,MI0000269,hsa-mir-181a-2,,759,314,398,371
chr1:198858873-198858982,miRNA_primary_transcript,-,MI0000270,MI0000270,hsa-mir-181b-1,,40,40,16,10
chr19:13874699-13874808,miRNA_primary_transcript,+,MI0000271,MI0000271,hsa-mir-181c,,80,31,62,48
chr7:129770383-129770492,miRNA_primary_transcript,-,MI0000272,MI0000272,hsa-mir-182,,119,54,116,46
chr7:129774905-129775014,miRNA_primary_transcript,-,MI0000273,MI0000273,hsa-mir-183,,325,101,301,117
chr18:35904818-35904926,miRNA_primary_transcript,-,MI0000274,MI0000274,hsa-mir-187,,1,0,4,7
chr12:53991738-53991847,miRNA_primary_transcript,+,MI0000279,MI0000279,hsa-mir-196a-2,,153,77,92,127
chr1:172144535-172144644,miRNA_primary_transcript,-,MI0000281,MI0000281,hsa-mir-199a-2,,0,0,11,14
chr9:128244721-128244830,miRNA_primary_transcript,-,MI0000282,MI0000282,hsa-mir-199b,,107,34,1383,1176
chr14:104117405-104117514,miRNA_primary_transcript,+,MI0000283,MI0000283,hsa-mir-203a,,11,9,7,4
chr9:70809975-70810084,miRNA_primary_transcript,-,MI0000284,MI0000284,hsa-mir-204,,1531,843,303,976
chr1:209432133-209432242,miRNA_primary_transcript,+,MI0000285,MI0000285,hsa-mir-205,,0,2,0,0
chr11:568089-568198,miRNA_primary_transcript,-,MI0000286,MI0000286,hsa-mir-210,,2437,455,398,774
chr15:31065032-31065141,miRNA_primary_transcript,-,MI0000287,MI0000287,hsa-mir-211,,521,1083,70,2
chr17:2050271-2050380,miRNA_primary_transcript,-,MI0000288,MI0000288,hsa-mir-212,,35,47,12,64
chr1:198859044-198859153,miRNA_primary_transcript,-,MI0000289,MI0000289,hsa-mir-181a-1,,1392,317,302,22
chr1:172138798-172138907,miRNA_primary_transcript,-,MI0000290,MI0000290,hsa-mir-214,,0,0,176,240
chr1:220117853-220117962,miRNA_primary_transcript,-,MI0000291,MI0000291,hsa-mir-215,,29,15,22,53
chr2:55988950-55989059,miRNA_primary_transcript,-,MI0000292,MI0000292,hsa-mir-216a,,3,0,0,0
chr2:55982967-55983076,miRNA_primary_transcript,-,MI0000293,MI0000293,hsa-mir-217,,7,2,3,15
chr4:20528275-20528384,miRNA_primary_transcript,+,MI0000294,MI0000294,hsa-mir-218-1,,3,0,8,1
chr5:168768146-168768255,miRNA_primary_transcript,-,MI0000295,MI0000295,hsa-mir-218-2,,0,0,0,0
chr6:33207835-33207944,miRNA_primary_transcript,+,MI0000296,MI0000296,hsa-mir-219a-1,,7,0,1,6
chrX:45746157-45746266,miRNA_primary_transcript,-,MI0000298,MI0000298,hsa-mir-221,,21611,3062,5621,20118
chrX:45747015-45747124,miRNA_primary_transcript,-,MI0000299,MI0000299,hsa-mir-222,,35413,13717,6033,12691
chrX:66018870-66018979,miRNA_primary_transcript,+,MI0000300,MI0000300,hsa-mir-223,,15,9,21,11
chrX:151958578-151958658,miRNA_primary_transcript,-,MI0000301,MI0000301,hsa-mir-224,,92,13,505,7
chr1:1167104-1167198,miRNA_primary_transcript,+,MI0000342,MI0000342,hsa-mir-200b,,92,70,38,169
chr3:52268278-52268361,miRNA_primary_transcript,-,MI0000433,MI0000433,hsa-let-7g,,16991,5818,8489,19808
chr12:62603686-62603769,miRNA_primary_transcript,+,MI0000434,MI0000434,hsa-let-7i,,129327,63028,82972,181944
chr18:21829004-21829088,miRNA_primary_transcript,-,MI0000437,MI0000437,hsa-mir-1-2,,163,162,1,1
chr3:160404588-160404685,miRNA_primary_transcript,+,MI0000438,MI0000438,hsa-mir-15b,,619,81,278,787
chr9:95085208-95085304,miRNA_primary_transcript,+,MI0000439,MI0000439,hsa-mir-23b,,2030,389,649,629
chr9:95085445-95085541,miRNA_primary_transcript,+,MI0000440,MI0000440,hsa-mir-27b,,14747,3885,12216,16222
chr8:134800520-134800607,miRNA_primary_transcript,-,MI0000441,MI0000441,hsa-mir-30b,,3006,285,321,432
chr18:58451074-58451158,miRNA_primary_transcript,+,MI0000442,MI0000442,hsa-mir-122,,1221,1567,368,403
chr8:9903388-9903472,miRNA_primary_transcript,-,MI0000443,MI0000443,hsa-mir-124-1,,0,0,0,0
chr8:64379149-64379257,miRNA_primary_transcript,+,MI0000444,MI0000444,hsa-mir-124-2,,0,0,0,0
chr20:63178500-63178586,miRNA_primary_transcript,+,MI0000445,MI0000445,hsa-mir-124-3,,0,0,0,0
chr11:122099757-122099844,miRNA_primary_transcript,-,MI0000446,MI0000446,hsa-mir-125b-1,,1217,519,470,1655
chr2:135665397-135665478,miRNA_primary_transcript,+,MI0000447,MI0000447,hsa-mir-128-1,,487,533,352,313
chr11:57641198-57641286,miRNA_primary_transcript,+,MI0000448,MI0000448,hsa-mir-130a,,71,11,21,35
chr17:2049908-2050008,miRNA_primary_transcript,-,MI0000449,MI0000449,hsa-mir-132,,360,126,88,235
chr18:21825698-21825785,miRNA_primary_transcript,-,MI0000450,MI0000450,hsa-mir-133a-1,,0,0,0,0
chr20:62564912-62565013,miRNA_primary_transcript,+,MI0000451,MI0000451,hsa-mir-133a-2,,0,0,0,0
chr3:52294219-52294308,miRNA_primary_transcript,-,MI0000452,MI0000452,hsa-mir-135a-1,,1,2,0,1
chr12:97563812-97563911,miRNA_primary_transcript,+,MI0000453,MI0000453,hsa-mir-135a-2,,0,0,1,0
chr1:98046070-98046171,miRNA_primary_transcript,-,MI0000454,MI0000454,hsa-mir-137,,9,4,42,11
chr16:56858518-56858601,miRNA_primary_transcript,+,MI0000455,MI0000455,hsa-mir-138-2,,2,1,4,1
chr16:69933081-69933180,miRNA_primary_transcript,+,MI0000456,MI0000456,hsa-mir-140,,15602,2483,28585,28452
chr12:6964097-6964191,miRNA_primary_transcript,+,MI0000457,MI0000457,hsa-mir-141,,5,1,0,5
chr17:58331232-58331318,miRNA_primary_transcript,-,MI0000458,MI0000458,hsa-mir-142,,54,51,88,23
chr5:149428918-149429023,miRNA_primary_transcript,+,MI0000459,MI0000459,hsa-mir-143,,2710,3274,4370,1633
chr17:28861533-28861618,miRNA_primary_transcript,-,MI0000460,MI0000460,hsa-mir-144,,10,21,67,12
chr5:149430646-149430733,miRNA_primary_transcript,+,MI0000461,MI0000461,hsa-mir-145,,20,19,57,30
chr17:48037161-48037247,miRNA_primary_transcript,-,MI0000462,MI0000462,hsa-mir-152,,7968,1952,3361,3837
chr2:219294111-219294200,miRNA_primary_transcript,-,MI0000463,MI0000463,hsa-mir-153-1,,0,0,0,0
chr7:157574336-157574422,miRNA_primary_transcript,-,MI0000464,MI0000464,hsa-mir-153-2,,0,0,0,0
chr3:49020618-49020709,miRNA_primary_transcript,-,MI0000465,MI0000465,hsa-mir-191,,20382,10921,6525,8948
chr1:156420341-156420429,miRNA_primary_transcript,-,MI0000466,MI0000466,hsa-mir-9-1,,0,0,1,0
chr5:88666853-88666939,miRNA_primary_transcript,-,MI0000467,MI0000467,hsa-mir-9-2,,0,0,1,0
chr15:89368017-89368106,miRNA_primary_transcript,+,MI0000468,MI0000468,hsa-mir-9-3,,1,1,4,2
chr19:51693254-51693339,miRNA_primary_transcript,+,MI0000469,MI0000469,hsa-mir-125a,,1542,997,1350,825
chr21:16590237-16590325,miRNA_primary_transcript,+,MI0000470,MI0000470,hsa-mir-125b-2,,240,268,22,26
chr9:136670602-136670686,miRNA_primary_transcript,+,MI0000471,MI0000471,hsa-mir-126,,417,177,362,378
chr14:100882979-100883075,miRNA_primary_transcript,+,MI0000472,MI0000472,hsa-mir-127,,267,221,22592,10189
chr11:43581394-43581483,miRNA_primary_transcript,+,MI0000473,MI0000473,hsa-mir-129-2,,3,4,2,5
chr14:101054687-101054759,miRNA_primary_transcript,+,MI0000474,MI0000474,hsa-mir-134,,19,5,2746,3862
chr14:100884702-100884783,miRNA_primary_transcript,+,MI0000475,MI0000475,hsa-mir-136,,55,59,5426,3717
chr3:44114212-44114310,miRNA_primary_transcript,+,MI0000476,MI0000476,hsa-mir-138-1,,170,27,36,62
chr5:160485352-160485450,miRNA_primary_transcript,+,MI0000477,MI0000477,hsa-mir-146a,,50118,19118,23917,37367
chr2:240456001-240456089,miRNA_primary_transcript,+,MI0000478,MI0000478,hsa-mir-149,,200,212,990,540
chr19:49500785-49500868,miRNA_primary_transcript,-,MI0000479,MI0000479,hsa-mir-150,,21,41,55,6
chr14:101059755-101059838,miRNA_primary_transcript,+,MI0000480,MI0000480,hsa-mir-154,,1,1,62,106
chr15:79209788-79209871,miRNA_primary_transcript,+,MI0000481,MI0000481,hsa-mir-184,,22,4,8,16
chr22:20033139-20033220,miRNA_primary_transcript,+,MI0000482,MI0000482,hsa-mir-185,,2549,592,557,976
chr1:71067631-71067716,miRNA_primary_transcript,-,MI0000483,MI0000483,hsa-mir-186,,3040,1024,1655,1761
chrX:50003503-50003588,miRNA_primary_transcript,+,MI0000484,MI0000484,hsa-mir-188,,22,1,3,12
chr15:62823957-62824041,miRNA_primary_transcript,+,MI0000486,MI0000486,hsa-mir-190a,,4,0,3,9
chr17:31559996-31560083,miRNA_primary_transcript,+,MI0000487,MI0000487,hsa-mir-193a,,585,30,110,323
chr1:220118157-220118241,miRNA_primary_transcript,-,MI0000488,MI0000488,hsa-mir-194-1,,1,0,0,1
chr17:7017615-7017701,miRNA_primary_transcript,-,MI0000489,MI0000489,hsa-mir-195,,34,44,16,24
chr6:52144349-52144434,miRNA_primary_transcript,+,MI0000490,MI0000490,hsa-mir-206,,5,12,2,0
chr8:22244966-22245037,miRNA_primary_transcript,-,MI0000542,MI0000542,hsa-mir-320a,,66997,13608,12903,24830
chr12:6963699-6963766,miRNA_primary_transcript,+,MI0000650,MI0000650,hsa-mir-200c,,118,57,20,177
chr20:62554306-62554376,miRNA_primary_transcript,+,MI0000651,MI0000651,hsa-mir-1-1,,31,29,0,1
chr21:25573980-25574044,miRNA_primary_transcript,+,MI0000681,MI0000681,hsa-mir-155,,1615,197,1100,2523
chr9:124693710-124693798,miRNA_primary_transcript,+,MI0000683,MI0000683,hsa-mir-181b-2,,280,161,122,85
chr3:35744476-35744559,miRNA_primary_transcript,+,MI0000727,MI0000727,hsa-mir-128-2,,25,27,49,19
chr11:64891355-64891439,miRNA_primary_transcript,-,MI0000732,MI0000732,hsa-mir-194-2,,20,4,8,0
chr7:100093993-100094074,miRNA_primary_transcript,-,MI0000734,MI0000734,hsa-mir-106b,,5097,1151,2517,2296
chr1:207801852-207801939,miRNA_primary_transcript,-,MI0000735,MI0000735,hsa-mir-29c,,16,4,13,24
chr1:40757284-40757372,miRNA_primary_transcript,+,MI0000736,MI0000736,hsa-mir-30c-1,,81,11,11,2
chr1:1167863-1167952,miRNA_primary_transcript,+,MI0000737,MI0000737,hsa-mir-200a,,125,97,15,30
chr4:112648183-112648251,miRNA_primary_transcript,-,MI0000738,MI0000738,hsa-mir-302a,,142,0,0,0
chr9:4850297-4850375,miRNA_primary_transcript,+,MI0000739,MI0000739,hsa-mir-101-2,,433,171,305,361
chr9:128392618-128392714,miRNA_primary_transcript,-,MI0000740,MI0000740,hsa-mir-219a-2,,10,12,46,34
chr11:111512938-111513021,miRNA_primary_transcript,+,MI0000742,MI0000742,hsa-mir-34b,,24,2,1,2
chr11:111513439-111513515,miRNA_primary_transcript,+,MI0000743,MI0000743,hsa-mir-34c,,1069,49,64,91
chr14:101023794-101023856,miRNA_primary_transcript,+,MI0000744,MI0000744,hsa-mir-299,,14,13,220,188
chr17:59151136-59151221,miRNA_primary_transcript,-,MI0000745,MI0000745,hsa-mir-301a,,12,8,11,11
chr19:51692612-51692681,miRNA_primary_transcript,+,MI0000746,MI0000746,hsa-mir-99b,,21976,18533,10655,7006
chr20:58817615-58817694,miRNA_primary_transcript,-,MI0000747,MI0000747,hsa-mir-296,,1570,149,13,2
chr22:21653304-21653385,miRNA_primary_transcript,+,MI0000748,MI0000748,hsa-mir-130b,,140,570,114,96
chr1:40754355-40754446,miRNA_primary_transcript,+,MI0000749,MI0000749,hsa-mir-30e,,31446,9824,7655,15646
chr12:57824609-57824692,miRNA_primary_transcript,-,MI0000750,MI0000750,hsa-mir-26a-2,,48,25,21,96
chrX:85903636-85903707,miRNA_primary_transcript,-,MI0000760,MI0000760,hsa-mir-361,,908,394,435,481
chrX:50008964-50009028,miRNA_primary_transcript,+,MI0000762,MI0000762,hsa-mir-362,,223,130,102,254
chrX:134169378-134169452,miRNA_primary_transcript,-,MI0000764,MI0000764,hsa-mir-363,,3065,271,690,1199
chr16:14309285-14309371,miRNA_primary_transcript,+,MI0000767,MI0000767,hsa-mir-365a,,29,28,4,5
chr17:31575411-31575521,miRNA_primary_transcript,+,MI0000769,MI0000769,hsa-mir-365b,,54,4,0,12
chr4:112648485-112648557,miRNA_primary_transcript,-,MI0000772,MI0000772,hsa-mir-302b,,14,2,0,0
chr4:112648363-112648430,miRNA_primary_transcript,-,MI0000773,MI0000773,hsa-mir-302c,,2,0,0,0
chr4:112648004-112648071,miRNA_primary_transcript,-,MI0000774,MI0000774,hsa-mir-302d,,7,0,0,0
chr4:112647874-112647941,miRNA_primary_transcript,-,MI0000775,MI0000775,hsa-mir-367,,0,0,0,0
chr14:101039690-101039755,miRNA_primary_transcript,+,MI0000776,MI0000776,hsa-mir-376c,,0,1,110,110
chr14:101065598-101065667,miRNA_primary_transcript,+,MI0000777,MI0000777,hsa-mir-369,,12,11,1178,1454
chr14:100911139-100911213,miRNA_primary_transcript,+,MI0000778,MI0000778,hsa-mir-370,,18,2,183,287
chr19:53787675-53787741,miRNA_primary_transcript,+,MI0000779,MI0000779,hsa-mir-371a,,67,0,387,0
chr19:53787890-53787956,miRNA_primary_transcript,+,MI0000780,MI0000780,hsa-mir-372,,153,1,919,0
chr19:53788705-53788773,miRNA_primary_transcript,+,MI0000781,MI0000781,hsa-mir-373,,79,0,170,1
chrX:74287286-74287357,miRNA_primary_transcript,-,MI0000782,MI0000782,hsa-mir-374a,,162,83,110,150
chr2:219001645-219001708,miRNA_primary_transcript,-,MI0000783,MI0000783,hsa-mir-375,,4,4,0,7
chr14:101040782-101040849,miRNA_primary_transcript,+,MI0000784,MI0000784,hsa-mir-376a-1,,0,0,7,5
chr14:101062050-101062118,miRNA_primary_transcript,+,MI0000785,MI0000785,hsa-mir-377,,1,0,85,109
chr5:149732825-149732890,miRNA_primary_transcript,+,MI0000786,MI0000786,hsa-mir-378a,,166,41,5,15
chr14:101022066-101022132,miRNA_primary_transcript,+,MI0000787,MI0000787,hsa-mir-379,,131,93,12179,11448
chr14:101025017-101025077,miRNA_primary_transcript,+,MI0000788,MI0000788,hsa-mir-380,,2,2,72,39
chr14:101045920-101045994,miRNA_primary_transcript,+,MI0000789,MI0000789,hsa-mir-381,,88,77,8812,7669
chr14:101054306-101054381,miRNA_primary_transcript,+,MI0000790,MI0000790,hsa-mir-382,,19,6,1003,1142
chr8:14853438-14853510,miRNA_primary_transcript,-,MI0000791,MI0000791,hsa-mir-383,,4,1,4,3
chr5:180015303-180015397,miRNA_primary_transcript,-,MI0000802,MI0000802,hsa-mir-340,,4564,2226,1799,4348
chr19:45638994-45639087,miRNA_primary_transcript,-,MI0000803,MI0000803,hsa-mir-330,,1342,930,433,761
chr16:67202321-67202395,miRNA_primary_transcript,-,MI0000804,MI0000804,hsa-mir-328,,209,166,74,39
chr14:100109655-100109753,miRNA_primary_transcript,+,MI0000805,MI0000805,hsa-mir-342,,75,4,58,67
chr14:100874493-100874585,miRNA_primary_transcript,+,MI0000806,MI0000806,hsa-mir-337,,0,0,45,27
chr14:101025732-101025817,miRNA_primary_transcript,+,MI0000807,MI0000807,hsa-mir-323a,,4,8,1070,558
chr11:75335092-75335186,miRNA_primary_transcript,-,MI0000808,MI0000808,hsa-mir-326,,4,0,1,0
chr8:140732564-140732653,miRNA_primary_transcript,-,MI0000809,MI0000809,hsa-mir-151a,,17374,12132,7022,19745
chr1:205448302-205448398,miRNA_primary_transcript,-,MI0000810,MI0000810,hsa-mir-135b,,150,18,313,667
chr12:54337216-54337314,miRNA_primary_transcript,+,MI0000811,MI0000811,hsa-mir-148b,,2886,564,663,901
chr12:95308420-95308513,miRNA_primary_transcript,+,MI0000812,MI0000812,hsa-mir-331,,189,37,80,76
chr17:7223297-7223379,miRNA_primary_transcript,-,MI0000813,MI0000813,hsa-mir-324,,186,12,45,49
chr17:81125883-81125949,miRNA_primary_transcript,-,MI0000814,MI0000814,hsa-mir-338,,94,94,1,19
chr7:1022933-1023026,miRNA_primary_transcript,-,MI0000815,MI0000815,hsa-mir-339,,1649,529,1444,1707
chr7:130496111-130496204,miRNA_primary_transcript,+,MI0000816,MI0000816,hsa-mir-335,,5,2,6,5
chr6:52148923-52149041,miRNA_primary_transcript,+,MI0000822,MI0000822,hsa-mir-133b,,0,0,0,0
chrX:77005404-77005501,miRNA_primary_transcript,-,MI0000824,MI0000824,hsa-mir-325,,0,0,0,0
chr14:100307859-100307956,miRNA_primary_transcript,+,MI0000825,MI0000825,hsa-mir-345,,1133,419,299,320
chr10:86264694-86264788,miRNA_primary_transcript,-,MI0000826,MI0000826,hsa-mir-346,,0,0,0,0
chrX:76919273-76919360,miRNA_primary_transcript,-,MI0001145,MI0001145,hsa-mir-384,,2,0,3,0
chr7:27169480-27169563,miRNA_primary_transcript,-,MI0001150,MI0001150,hsa-mir-196b,,4,78,122,135
chr15:63870930-63871019,miRNA_primary_transcript,-,MI0001444,MI0001444,hsa-mir-422a,,0,0,0,0
chr17:30117079-30117172,miRNA_primary_transcript,+,MI0001445,MI0001445,hsa-mir-423,,35326,26110,11042,14846
chrX:134546614-134546711,miRNA_primary_transcript,-,MI0001446,MI0001446,hsa-mir-424,,672,304,136,295
chr3:49020148-49020234,miRNA_primary_transcript,-,MI0001448,MI0001448,hsa-mir-425,,1194,415,346,709
chrX:134170041-134170111,miRNA_primary_transcript,-,MI0001518,MI0001518,hsa-mir-18b,,3,1,3,1
chrX:134169809-134169877,miRNA_primary_transcript,-,MI0001519,MI0001519,hsa-mir-20b,,192,20,38,100
chrX:114823454-114823564,miRNA_primary_transcript,+,MI0001637,MI0001637,hsa-mir-448,,1,4,1,0
chr1:1169005-1169087,miRNA_primary_transcript,+,MI0001641,MI0001641,hsa-mir-429,,15,14,5,50
chr5:55170532-55170622,miRNA_primary_transcript,-,MI0001648,MI0001648,hsa-mir-449a,,0,0,5,21
chrX:134540341-134540431,miRNA_primary_transcript,-,MI0001652,MI0001652,hsa-mir-450a-1,,0,0,1,2
chr14:100881007-100881120,miRNA_primary_transcript,+,MI0001721,MI0001721,hsa-mir-431,,2,2,70,54
chr14:100881886-100881978,miRNA_primary_transcript,+,MI0001723,MI0001723,hsa-mir-433,,5,1,185,75
chr14:101026785-101026864,miRNA_primary_transcript,+,MI0001725,MI0001725,hsa-mir-329-1,,0,0,0,0
chr14:101027100-101027183,miRNA_primary_transcript,+,MI0001726,MI0001726,hsa-mir-329-2,,0,0,0,0
chr17:28861369-28861440,miRNA_primary_transcript,-,MI0001729,MI0001729,hsa-mir-451a,,974,914,203,89
chrX:151959628-151959712,miRNA_primary_transcript,-,MI0001733,MI0001733,hsa-mir-452,,16,7,60,3
chr14:101065300-101065378,miRNA_primary_transcript,+,MI0001735,MI0001735,hsa-mir-409,,27,36,2752,993
chr14:101065447-101065537,miRNA_primary_transcript,+,MI0002464,MI0002464,hsa-mir-412,,16,6,15,6
chr14:101065912-101065991,miRNA_primary_transcript,+,MI0002465,MI0002465,hsa-mir-410,,6,5,187,101
chr14:101040436-101040535,miRNA_primary_transcript,+,MI0002466,MI0002466,hsa-mir-376b,,0,0,9,4
